(2021-05-06 06:59:50,872) | uplood Image1: kitty250.jpg 
(2021-05-06 06:59:56,088) | uplood Image2: dog250.jpg 
(2021-05-06 06:59:57,991) | ComboBoxes has been adjusted
(2021-05-06 06:59:59,735) | ComboBoxes has been adjusted
(2021-05-06 07:00:02,057) | ComboBoxes has been adjusted
(2021-05-06 07:00:02,077) | Mixing 0.0 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:02,077) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,187) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,206) | Mixing 0.01 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,206) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,209) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,222) | Mixing 0.02 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,222) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,228) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,244) | Mixing 0.07 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,244) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,247) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,263) | Mixing 0.11 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,263) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,267) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,283) | Mixing 0.33 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,284) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,287) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,302) | Mixing 0.44 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,302) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,306) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,323) | Mixing 0.49 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,323) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,328) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,344) | Mixing 0.57 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,344) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,347) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,362) | Mixing 0.62 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,362) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,365) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,379) | Mixing 0.64 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,379) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,382) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,398) | Mixing 0.68 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,398) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,401) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,414) | Mixing 0.73 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,414) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,418) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,436) | Mixing 0.76 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,436) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,439) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,450) | Mixing 0.77 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,450) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,454) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,467) | Mixing 0.78 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,467) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,471) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,485) | Mixing 0.79 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,485) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,656) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,678) | Mixing 0.78 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,678) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,680) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,696) | Mixing 0.75 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,697) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,700) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,714) | Mixing 0.71 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,714) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,717) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,733) | Mixing 0.69 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,733) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,736) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,751) | Mixing 0.66 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,751) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,758) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,771) | Mixing 0.6 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,771) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,774) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,791) | Mixing 0.59 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,792) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,803) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,816) | Mixing 0.58 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,816) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,821) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,835) | Mixing 0.55 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,835) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,839) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,853) | Mixing 0.53 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,853) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,856) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,871) | Mixing 0.46 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,871) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,875) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,890) | Mixing 0.43 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,890) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,895) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,911) | Mixing 0.39 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,912) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,916) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,932) | Mixing 0.32 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,932) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,936) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,951) | Mixing 0.29 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,951) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,955) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,969) | Mixing 0.23 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,969) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,972) | ComboBoxes has been adjusted
(2021-05-06 07:00:05,986) | Mixing 0.21 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:05,986) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:05,991) | ComboBoxes has been adjusted
(2021-05-06 07:00:06,006) | Mixing 0.19 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:06,006) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:06,010) | ComboBoxes has been adjusted
(2021-05-06 07:00:06,026) | Mixing 0.18 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:06,027) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:06,030) | ComboBoxes has been adjusted
(2021-05-06 07:00:06,045) | Mixing 0.17 phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:06,046) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:07,681) | ComboBoxes has been adjusted
(2021-05-06 07:00:07,696) | Mixing 0.17 imaginary From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:07,696) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:09,060) | ComboBoxes has been adjusted
(2021-05-06 07:00:09,074) | Mixing 0.17 imaginary From Image1 And 0.0 real From Image2
(2021-05-06 07:00:09,074) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:14,485) | ComboBoxes has been adjusted
(2021-05-06 07:00:14,501) | Mixing 0.17 uniform phase From Image1 And 0.0 real From Image2
(2021-05-06 07:00:14,501) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:16,493) | ComboBoxes has been adjusted
(2021-05-06 07:00:16,510) | Mixing 0.17 uniform phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:16,510) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:17,628) | ComboBoxes has been adjusted
(2021-05-06 07:00:17,640) | Mixing 0.18 uniform phase From Image1 And 0.0 magnitude From Image2
(2021-05-06 07:00:17,641) | Output1 has been mixed and displayed successfully
(2021-05-06 07:00:17,644) | ComboBoxes has been adjusted
